Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
117,20,1,19.0,43,1,42.0,4,446,0.991,21,155,0.8645,19,10,0.9,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.107717041800643,622,608,622,159,0
118,19,1,18.0,43,1,42.0,4,447,0.9911,21,155,0.8645,19,10,0.9,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.1059390048154094,623,604,623,158,0
119,19,1,18.0,44,1,43.0,4,447,0.9911,21,155,0.8645,19,10,0.9,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.1075441412520064,623,605,623,159,0
120,19,1,18.0,44,1,43.0,4,448,0.9911,21,155,0.8645,20,10,1.0,9,6,0.5,30,1,29.0,5,1,4.0,8,1,7.0,1.108974358974359,624,612,624,160,0
121,21,1,20.0,45,1,44.0,4,448,0.9911,21,155,0.8645,20,10,1.0,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1153846153846154,624,618,624,164,0
122,21,1,20.0,45,1,44.0,4,448,0.9911,21,155,0.8645,20,10,1.0,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1153846153846154,624,621,624,164,0
123,21,1,20.0,45,1,44.0,4,449,0.9911,21,155,0.8645,20,10,1.0,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1152,625,621,625,164,0
124,21,1,20.0,45,1,44.0,4,449,0.9911,22,155,0.8581,20,10,1.0,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1136,625,620,625,165,0
125,21,1,20.0,45,1,44.0,4,450,0.9911,22,155,0.8581,21,10,1.1,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1150159744408945,626,621,626,166,0
126,21,1,20.0,45,1,44.0,4,450,0.9911,22,155,0.8581,21,10,1.1,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1150159744408945,626,622,626,166,0
127,21,1,20.0,45,1,44.0,4,451,0.9911,22,155,0.8581,22,10,1.2,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1164274322169059,627,621,627,167,0
128,21,1,20.0,44,1,43.0,4,451,0.9911,22,155,0.8581,22,10,1.2,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1148325358851674,627,619,627,166,0
129,21,1,20.0,44,1,43.0,4,452,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1162420382165605,628,618,628,167,0
130,21,1,20.0,44,1,43.0,4,452,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1162420382165605,628,622,628,167,0
131,22,1,21.0,44,1,43.0,4,452,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1178343949044587,628,623,628,168,0
132,22,1,21.0,44,1,43.0,4,453,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1176470588235294,629,621,629,168,0
