Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
84,16,1,15.0,65,1,64.0,17,427,0.9602,15,151,0.9007,16,10,0.6,9,7,0.2857,24,1,23.0,8,1,7.0,3,1,2.0,1.1083333333333334,600,583,600,173,0
85,16,1,15.0,65,1,64.0,17,428,0.9603,15,152,0.9013,16,10,0.6,9,7,0.2857,24,1,23.0,8,1,7.0,3,1,2.0,1.1079734219269104,602,587,602,173,0
86,16,1,15.0,65,1,64.0,17,429,0.9604,15,152,0.9013,16,10,0.6,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.109452736318408,603,592,603,174,0
87,16,1,15.0,65,1,64.0,17,431,0.9606,15,152,0.9013,17,10,0.7,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.1107438016528925,605,595,605,175,0
88,17,1,16.0,65,1,64.0,17,432,0.9606,15,153,0.902,17,10,0.7,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.112026359143328,607,598,607,176,0
89,17,1,16.0,65,1,64.0,17,433,0.9607,15,153,0.902,17,10,0.7,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.111842105263158,608,599,608,176,0
90,17,1,16.0,65,1,64.0,17,434,0.9608,15,154,0.9026,17,10,0.7,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.1114754098360655,610,596,610,176,0
91,17,1,16.0,65,1,64.0,17,435,0.9609,15,154,0.9026,17,10,0.7,9,7,0.2857,25,1,24.0,8,1,7.0,3,1,2.0,1.1112929623567922,611,598,611,176,0
92,18,1,17.0,65,1,64.0,17,436,0.961,15,154,0.9026,17,10,0.7,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.11620294599018,611,605,611,177,0
93,18,1,17.0,65,1,64.0,17,436,0.961,15,154,0.9026,17,10,0.7,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.11620294599018,611,605,611,177,0
94,18,1,17.0,65,1,64.0,17,436,0.961,15,154,0.9026,17,10,0.7,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.11620294599018,611,606,611,177,0
95,18,1,17.0,65,1,64.0,17,437,0.9611,15,154,0.9026,17,10,0.7,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.1160130718954249,612,608,612,177,0
96,18,1,17.0,65,1,64.0,17,437,0.9611,15,155,0.9032,17,10,0.7,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.1158238172920065,613,606,613,177,0
97,18,1,17.0,65,1,64.0,17,438,0.9612,15,155,0.9032,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1172638436482085,614,605,614,178,0
98,19,1,18.0,65,1,64.0,17,438,0.9612,15,155,0.9032,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1188925081433225,614,608,614,179,0
99,19,1,18.0,65,1,64.0,17,439,0.9613,15,155,0.9032,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1186991869918699,615,608,615,179,0
100,19,1,18.0,65,1,64.0,17,439,0.9613,16,155,0.8968,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1170731707317074,615,607,615,180,0
101,18,1,17.0,65,1,64.0,17,439,0.9613,16,155,0.8968,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1154471544715447,615,608,615,179,0
102,18,1,17.0,65,1,64.0,17,440,0.9614,16,155,0.8968,17,10,0.7,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1152597402597402,616,609,616,179,0
103,18,1,17.0,66,1,65.0,17,440,0.9614,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1185064935064934,616,612,616,181,0
104,18,1,17.0,66,1,65.0,17,441,0.9615,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1183144246353323,617,608,617,181,0
105,18,1,17.0,66,1,65.0,17,441,0.9615,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1183144246353323,617,607,617,181,0
106,18,1,17.0,66,1,65.0,18,442,0.9593,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.116504854368932,618,607,618,182,0
107,19,1,18.0,66,1,65.0,18,442,0.9593,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1181229773462784,618,611,618,183,0
108,19,1,18.0,66,1,65.0,18,442,0.9593,16,155,0.8968,18,10,0.8,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1181229773462784,618,609,618,183,0
